Título,Data de Publicação,Link
Where Harris’ campaign went wrong,2024-11-06,https://www.cnn.com/2024/11/06/politics/harris-campaign-went-wrong/index.html
Where Harris’ campaign went wrong,2024-11-06,https://www.cnn.com/2024/11/06/politics/harris-campaign-went-wrong/index.html
Trump’s victory could mean US withdraws support for Ukraine in war with Russia,2024-11-06,https://www.cnn.com/2024/11/06/politics/trump-election-ukraine-war-russia-intl/index.html
Trump’s victory could mean US withdraws support for Ukraine in war with Russia,2024-11-06,https://www.cnn.com/2024/11/06/politics/trump-election-ukraine-war-russia-intl/index.html
"Trump will win second term, CNN projects, in historic comeback after losing four years ago",2024-11-06,https://www.cnn.com/2024/11/06/politics/trump-wins-election/index.html
"Trump will win second term, CNN projects, in historic comeback after losing four years ago",2024-11-06,https://www.cnn.com/2024/11/06/politics/trump-wins-election/index.html
What happens to Trump’s criminal and civil cases now that he’s been reelected,2024-11-06,https://www.cnn.com/2024/11/06/politics/what-happens-to-trump-criminal-cases/index.html
What happens to Trump’s criminal and civil cases now that he’s been reelected,2024-11-06,https://www.cnn.com/2024/11/06/politics/what-happens-to-trump-criminal-cases/index.html
Trump’s second term will look nothing like his first,2024-11-06,https://www.cnn.com/2024/11/06/politics/second-term-donald-trump/index.html
Trump’s second term will look nothing like his first,2024-11-06,https://www.cnn.com/2024/11/06/politics/second-term-donald-trump/index.html
CNN projects Trump will win presidential election,2024-11-06,https://www.cnn.com/2024/11/06/politics/video/trump-wins-presidential-election-digvid
CNN projects Trump will win presidential election,2024-11-06,https://www.cnn.com/2024/11/06/politics/video/trump-wins-presidential-election-digvid
Trump speaks to his supporters on election night,2024-11-06,https://www.cnn.com/2024/11/06/politics/video/speech-trump-election-digvid
Trump speaks to his supporters on election night,2024-11-06,https://www.cnn.com/2024/11/06/politics/video/speech-trump-election-digvid
"Republican Tim Sheehy will defeat Sen. Jon Tester in competitive Montana race, CNN projects",2024-11-06,https://www.cnn.com/2024/11/06/politics/tim-sheehy-jon-tester-montana-senate/index.html
"Moreno will defeat Brown in Ohio, CNN projects, in key pickup for GOP",2024-11-06,https://www.cnn.com/2024/11/05/politics/bernie-moreno-ohio-senate-race/index.html
"Texas Sen. Ted Cruz will win reelection and defeat Democrat Colin Allred, CNN projects",2024-11-06,https://www.cnn.com/2024/11/05/politics/ted-cruz-texas-senate-race/index.html
"4 states vote to protect abortion rights, while effort to expand access in Florida fails",2024-11-05,https://www.cnn.com/2024/11/05/politics/abortion-state-ballot-measure-dg/index.html
"Angela Alsobrooks will hold Maryland Senate seat for Democrats, CNN projects",2024-11-06,https://www.cnn.com/2024/11/05/politics/angela-alsobrooks-maryland-senate/index.html
"Republican Kelly Ayotte will win New Hampshire governor’s race in political comeback, CNN projects",2024-11-06,https://www.cnn.com/2024/11/06/politics/kelly-ayotte-new-hampshire-governors-race/index.html
Eight takeaways from the 2024 election,2024-11-06,https://www.cnn.com/2024/11/06/politics/takeaways-election-day/index.html
Eight takeaways from the 2024 election,2024-11-06,https://www.cnn.com/2024/11/06/politics/takeaways-election-day/index.html
Meet the history-makers of the 2024 elections,2024-11-06,https://www.cnn.com/2024/11/05/politics/history-election-firsts-dg/index.html
Meet the history-makers of the 2024 elections,2024-11-06,https://www.cnn.com/2024/11/05/politics/history-election-firsts-dg/index.html
In pictures: Trump wins back the presidency,2024-11-05,https://www.cnn.com/2024/11/05/politics/gallery/america-votes-2024-election/index.html
In pictures: Trump wins back the presidency,2024-11-05,https://www.cnn.com/2024/11/05/politics/gallery/america-votes-2024-election/index.html
Jake Tapper: Three issues affected this election the most,2024-11-06,https://www.cnn.com/2024/11/06/politics/video/tapper-analysis-election-ldn-digvid
Jake Tapper: Three issues affected this election the most,2024-11-06,https://www.cnn.com/2024/11/06/politics/video/tapper-analysis-election-ldn-digvid
China’s state media focuses on US divisions as America awaits election results,2024-11-06,https://www.cnn.com/2024/11/06/china/china-state-media-us-divisions-election-intl-hnk/index.html
China’s state media focuses on US divisions as America awaits election results,2024-11-06,https://www.cnn.com/2024/11/06/china/china-state-media-us-divisions-election-intl-hnk/index.html
"Trump critic turned ally JD Vance elected vice president, offering glimpse at GOP’s potential future",2024-11-06,https://www.cnn.com/2024/11/06/politics/jd-vance-elected-vice-president/index.html
"Trump critic turned ally JD Vance elected vice president, offering glimpse at GOP’s potential future",2024-11-06,https://www.cnn.com/2024/11/06/politics/jd-vance-elected-vice-president/index.html
Here’s what Trump is proposing for the economy,2024-11-06,https://www.cnn.com/2024/11/06/politics/heres-what-trump-is-proposing-for-the-economy/index.html
Here’s what Trump is proposing for the economy,2024-11-06,https://www.cnn.com/2024/11/06/politics/heres-what-trump-is-proposing-for-the-economy/index.html
Exclusive: Locking eyes with mass murderers in El Salvador,2024-11-06,https://www.cnn.com/2024/11/06/americas/el-salvador-inside-cecot-prison/index.html
Exclusive: Locking eyes with mass murderers in El Salvador,2024-11-06,https://www.cnn.com/2024/11/06/americas/el-salvador-inside-cecot-prison/index.html
"Netanyahu fires Israeli Defense Minister Yoav Gallant, after months of clashes over war and politics",2024-11-05,https://www.cnn.com/2024/11/05/middleeast/netanyahu-yoav-gallant-intl-latam/index.html
"Israeli attacks in West Bank killed at least eight people, officials and residents say",2024-11-05,https://www.cnn.com/2024/11/05/middleeast/west-bank-attacks-eight-dead-intl-latam/index.html
Protesters block a highway after Israeli defense minister is fired,2024-11-05,https://www.cnn.com/2024/11/05/world/video/israel-protests-gallant-fired-netanyahu-digvid
"After their son came out, this conservative Christian couple went into a closet of their own",2024-11-03,https://www.cnn.com/2024/11/03/us/conservative-christian-coming-out-gay-cec/index.html
Equatorial Guinea cracks down on sex in government offices after leaked videos,2024-11-05,https://www.cnn.com/2024/11/05/africa/equatorial-guinea-sex-video-scandal-intl-latam/index.html
There’s a mind-bending Soviet-era oil rig city ‘floating’ on the planet’s largest lake,2024-11-06,https://www.cnn.com/2024/11/06/climate/oil-rocks-neft-daslari-caspian-sea-city/index.html
There’s a mind-bending Soviet-era oil rig city ‘floating’ on the planet’s largest lake,2024-11-06,https://www.cnn.com/2024/11/06/climate/oil-rocks-neft-daslari-caspian-sea-city/index.html
Chanel showcases dreamy resort collection in Hong Kong,2024-11-06,https://www.cnn.com/2024/11/06/style/chanel-cruise-show-hong-kong-hnk-intl/index.html
Chanel showcases dreamy resort collection in Hong Kong,2024-11-06,https://www.cnn.com/2024/11/06/style/chanel-cruise-show-hong-kong-hnk-intl/index.html
‘The saddest thing I’ve seen in Italy’: Tiny Trevi Fountain stand-in pool draws scorn,2024-11-05,https://www.cnn.com/2024/11/05/travel/rome-trevi-fountain-stand-in-pool/index.html
‘The saddest thing I’ve seen in Italy’: Tiny Trevi Fountain stand-in pool draws scorn,2024-11-05,https://www.cnn.com/2024/11/05/travel/rome-trevi-fountain-stand-in-pool/index.html
"Dow set to surge more than 1,200 points as Trump is reelected",2024-11-06,https://www.cnn.com/2024/11/06/investing/dow-stock-market-trump/index.html
"Dow set to surge more than 1,200 points as Trump is reelected",2024-11-06,https://www.cnn.com/2024/11/06/investing/dow-stock-market-trump/index.html
"My social media is helpful and positive. Here is how yours can be, too",2024-11-06,https://www.cnn.com/2024/11/06/health/social-media-healthy-intentional-wellness/index.html
"My social media is helpful and positive. Here is how yours can be, too",2024-11-06,https://www.cnn.com/2024/11/06/health/social-media-healthy-intentional-wellness/index.html
Prince William tackled by young rugby players in South Africa,2024-11-05,https://www.cnn.com/2024/11/05/world/video/prince-william-rugby-south-africa-ldn-digvid
Prince William tackled by young rugby players in South Africa,2024-11-05,https://www.cnn.com/2024/11/05/world/video/prince-william-rugby-south-africa-ldn-digvid
The skyscrapers where nobody lives,2024-11-06,https://www.cnn.com/2024/11/06/style/elevator-test-towers-architecture/index.html
The skyscrapers where nobody lives,2024-11-06,https://www.cnn.com/2024/11/06/style/elevator-test-towers-architecture/index.html
"World’s oldest writing system may have its origins in mysterious, undeciphered symbols",2024-11-05,https://www.cnn.com/2024/11/05/science/origins-of-writing-cuneiform/index.html
"World’s oldest writing system may have its origins in mysterious, undeciphered symbols",2024-11-05,https://www.cnn.com/2024/11/05/science/origins-of-writing-cuneiform/index.html
Video captures altercation between police and fans at Georgia-Florida college football game,2024-11-05,https://www.cnn.com/2024/11/05/us/video/football-fans-and-police-clash-florida-georgia-digvid
Video captures altercation between police and fans at Georgia-Florida college football game,2024-11-05,https://www.cnn.com/2024/11/05/us/video/football-fans-and-police-clash-florida-georgia-digvid
China to unveil J-35A stealth fighter jet as air force aims to match US aerial power,2024-11-05,https://www.cnn.com/2024/11/05/china/china-stealth-fighter-jet-j-35a-intl-hnk/index.html
China to unveil J-35A stealth fighter jet as air force aims to match US aerial power,2024-11-05,https://www.cnn.com/2024/11/05/china/china-stealth-fighter-jet-j-35a-intl-hnk/index.html
Endangered pygmy hippo born in Scottish zoo,2024-11-06,https://www.cnn.com/2024/11/06/travel/endangered-pygmy-hippo-born-gbr-scli-intl/index.html
Endangered pygmy hippo born in Scottish zoo,2024-11-06,https://www.cnn.com/2024/11/06/travel/endangered-pygmy-hippo-born-gbr-scli-intl/index.html
Is there a hidden planet in our solar system? Astronomers say the moment of truth is near,2024-11-05,https://www.cnn.com/2024/11/04/science/planet-nine-kuiper-belt-latest-evidence/index.html
Is there a hidden planet in our solar system? Astronomers say the moment of truth is near,2024-11-05,https://www.cnn.com/2024/11/04/science/planet-nine-kuiper-belt-latest-evidence/index.html
Barry Keoghan hits back at online trolls over ‘disgusting’ parenting comments,2024-11-05,https://www.cnn.com/2024/11/05/entertainment/barry-keoghan-online-trolls-intl-scli/index.html
Barry Keoghan hits back at online trolls over ‘disgusting’ parenting comments,2024-11-05,https://www.cnn.com/2024/11/05/entertainment/barry-keoghan-online-trolls-intl-scli/index.html
Australian Rules umpire suspended after dressing up as Osama bin Laden at party,2024-11-05,https://www.cnn.com/2024/11/05/sport/leigh-haussen-afl-umpire-suspended-costume-spt-intl/index.html
Australian Rules umpire suspended after dressing up as Osama bin Laden at party,2024-11-05,https://www.cnn.com/2024/11/05/sport/leigh-haussen-afl-umpire-suspended-costume-spt-intl/index.html
Soccer player dies after lightning strikes soccer field,2024-11-05,https://www.cnn.com/2024/11/04/world/video/lighting-soccer-game-death-peru-digvid
Soccer player dies after lightning strikes soccer field,2024-11-05,https://www.cnn.com/2024/11/04/world/video/lighting-soccer-game-death-peru-digvid
Lost Maya city discovered in Mexico,2024-11-02,https://www.cnn.com/2024/11/02/science/maya-city-discovered-valeriana-mexico/index.html
Lost Maya city discovered in Mexico,2024-11-02,https://www.cnn.com/2024/11/02/science/maya-city-discovered-valeriana-mexico/index.html
How to spot a fireball from the first branch of the Taurid meteor showers,2024-11-04,https://www.cnn.com/2024/11/04/science/meteor-shower-southern-taurids/index.html
Aging spacecraft starts up a radio transmitter it hasn’t used since 1981 from 15 billion miles away,2024-11-01,https://www.cnn.com/2024/11/01/science/voyager-1-transmitter-issue/index.html
Bones from a Tudor warship reveal what life was like for the crew,2024-11-02,https://www.cnn.com/2024/11/02/science/mary-rose-shipwreck-science-newsletter-wt/index.html
Cans of ‘fresh air’ from Lake Como on sale to tourists in Italy,2024-11-04,https://www.cnn.com/2024/11/04/travel/lake-como-air-cans-on-sale-intl-scli/index.html
"Boeing workers vote to accept deal, end strike",2024-11-05,https://www.cnn.com/2024/11/04/business/boeing-strike-vote-hnk-intl/index.html
"Boeing workers vote to accept deal, end strike",2024-11-05,https://www.cnn.com/2024/11/04/business/boeing-strike-vote-hnk-intl/index.html
Key Boeing supplier Spirit Aero raises doubts over ability to continue as going concern,2024-11-05,https://www.cnn.com/2024/11/05/business/boeing-supplier-spirit-aero-going-concern/index.html
"Stock futures, bitcoin and dollar rise as Trump poised to win",2024-11-05,https://www.cnn.com/2024/11/05/investing/us-stocks-presidential-election-outcome/index.html
The world is about to get some much-needed clarity on the US economy’s future,2024-11-03,https://www.cnn.com/2024/11/03/business/us-economy-election-federal-reserve/index.html
A forgotten gemstone that reigned during the Victorian era comes back into focus,2024-09-17,https://www.cnn.com/2024/09/17/style/jet-black-jewels-gems-whitby/index.html
A forgotten gemstone that reigned during the Victorian era comes back into focus,2024-09-17,https://www.cnn.com/2024/09/17/style/jet-black-jewels-gems-whitby/index.html
Why Ibiza is having a fashion moment once again,2024-08-09,https://www.cnn.com/2024/08/09/style/ibiza-arts-fashion/index.html
"Collins Dictionary’s word of the year is a confident, messy way of life",2024-11-01,https://www.cnn.com/2024/11/01/style/brat-word-of-the-year-collins-dictionary-intl-scli/index.html
Hello Kitty at 50: The mouthless face that launched an $80 billion empire,2024-11-01,https://www.cnn.com/2024/10/31/style/hello-kitty-50th-anniversary-japan-hnk-intl/index.html
‘I’m not proud of it’: Jason Kelce apologizes after video shows him spiking a cellphone after fan used a homophobic slur,2024-11-05,https://www.cnn.com/2024/11/04/sport/jason-kelce-apologizes-after-spiking-a-cellphone-after-fan-slur-spt-intl/index.html
‘I’m not proud of it’: Jason Kelce apologizes after video shows him spiking a cellphone after fan used a homophobic slur,2024-11-05,https://www.cnn.com/2024/11/04/sport/jason-kelce-apologizes-after-spiking-a-cellphone-after-fan-slur-spt-intl/index.html
Chiefs and Lions on Super Bowl collision course? Improvement from Bryce Young? Chargers showing promise? NFL Week 9 takeaways,2024-11-05,https://www.cnn.com/2024/11/05/sport/nfl-week-9-takeaways-spt-intl/index.html
Soccer player killed by lightning strike during match in Peru,2024-11-05,https://www.cnn.com/2024/11/04/sport/peru-soccer-lightning-intl-hnk-spt/index.html
Australian Rules umpire suspended after dressing up as Osama bin Laden at party,2024-11-05,https://www.cnn.com/2024/11/05/sport/leigh-haussen-afl-umpire-suspended-costume-spt-intl/index.html
Jill Biden closes out campaign with her own push for Harris,2024-11-03,https://www.cnn.com/2024/11/03/politics/jill-biden-kamala-harris-campaign-2024/index.html
Jill Biden closes out campaign with her own push for Harris,2024-11-03,https://www.cnn.com/2024/11/03/politics/jill-biden-kamala-harris-campaign-2024/index.html
"4 states vote to protect abortion rights, while effort to expand access in Florida fails",2024-11-05,https://www.cnn.com/2024/11/05/politics/abortion-state-ballot-measure-dg/index.html
The 10 Senate seats most likely to flip in 2024,2024-11-03,https://www.cnn.com/2024/11/03/politics/senate-seats-flip-election/index.html
Frustration grows as federal agency struggles to combat election lies spread by Americans,2024-11-02,https://www.cnn.com/2024/11/02/politics/federal-agency-combat-election-lies/index.html
Why you’re more likely to solve your problems on a therapist’s sofa than on social media,2024-11-04,https://www.cnn.com/2024/11/04/health/social-media-mental-health-misinformation-wellness/index.html
Why you’re more likely to solve your problems on a therapist’s sofa than on social media,2024-11-04,https://www.cnn.com/2024/11/04/health/social-media-mental-health-misinformation-wellness/index.html
"Life with narcolepsy: ‘It’s not a joke, it’s a very serious illness’",2024-11-01,https://www.cnn.com/2024/11/01/health/narcolepsy-wellness/index.html
"Are you in perimenopause? Here’s what to look for, according to a doctor",2024-10-30,https://www.cnn.com/2024/10/30/health/perimenopause-menopause-wellness/index.html
"Endocrine-disrupting chemicals are everywhere and could have many health impacts, researchers say",2024-10-29,https://www.cnn.com/2024/10/29/health/endocrine-disrupting-chemicals-wellness/index.html
5 tips to wean yourself off added sugar,2024-10-28,https://www.cnn.com/2024/10/28/health/cutting-added-sugar-recommendations-wellness/index.html
Google and Meta are blocking political ads to combat misinformation. Some experts say it’s too late,2024-11-05,https://www.cnn.com/2024/11/05/tech/social-media-election-ads-pause-misinformation/index.html
Google and Meta are blocking political ads to combat misinformation. Some experts say it’s too late,2024-11-05,https://www.cnn.com/2024/11/05/tech/social-media-election-ads-pause-misinformation/index.html
"Russia fines Google $20,000,000,000,000,000,000,000,000,000,000,000",2024-10-31,https://www.cnn.com/2024/10/31/tech/google-fines-russia/index.html
Apple wants its AI iPhone to turn around a sales rut. Here’s how it’s going so far,2024-10-31,https://www.cnn.com/2024/10/31/tech/iphone-16-ai-early-sales-numbers-earnings/index.html
TikTok’s founder is now China’s richest person. But the country’s total number of billionaires has shrunk,2024-10-30,https://www.cnn.com/2024/10/30/tech/tiktok-founder-china-richest-intl-hnk/index.html
Israel plans to use lasers to shoot down incoming missiles,2024-11-01,https://www.cnn.com/2024/11/01/middleeast/israel-iron-beam-laser-system-intl/index.html
"‘This is what it means to be from Gaza’: Poet captures people’s stories of life, love and loss",2024-10-31,https://www.cnn.com/2024/10/31/style/gaza-poet-forest-of-noise-intl/index.html
Horrific details emerge of how victims died in Spain’s flash floods,2024-11-01,https://www.cnn.com/2024/11/01/europe/spain-floods-horror-intl/index.html
‘January 6th is going to be pretty fun’: How MAGA activists are preparing to undermine the election if Trump loses,2024-10-31,https://www.cnn.com/2024/10/31/politics/maga-activists-preparing-undermine-election-if-trump-loses/index.html
At least 14 killed after railway station roof collapses in Serbia,2024-11-01,https://www.cnn.com/2024/11/01/europe/serbia-railway-station-collapse-intl/index.html
Teen suspect in deadly Orlando Halloween shootings charged as adult. Here’s what we know,2024-11-02,https://www.cnn.com/2024/11/02/us/downtown-orlando-halloween-shootings-what-we-know/index.html
Armed group kidnaps more than 200 military personnel and seizes base in central Bolivia,2024-11-01,https://www.cnn.com/2024/11/01/americas/bolivia-cochabamba-military-base-intl/index.html
Prince William defends his ambitious plan to tackle homelessness in UK,2024-11-01,https://www.cnn.com/2024/11/01/uk/prince-william-homelessness-documentary-intl-scli-gbr/index.html
"Botswana’s ruling party loses election, ending 58-year rule",2024-11-01,https://www.cnn.com/2024/11/01/africa/botswana-party-loses-election-masisi-boko-intl/index.html
